Video Title,Upload Date,Upload Day,Duration,Views,Likes,Comments,Hashtags,Watch Time,Views Like Ratio,Views Comment Ratio,Watch Time per Views,Likes Comment Ratio,Audience Engagement Rate,Newest 5 Comments
Paratha Recipe,01/05/2025,Thursday,07:26,8843,295,22,NA,1095.5,29.97627119,401.9545455,0.123883298,13.40909091,3.58%," ""Chef Pratik very good new paratha recipe How much daal have you put to soakThank you to add it so that I can try the recipe."",""Aapne bahut hi acchi recipe banai hai"",""Thanks! I've been making chana daal parathas for years Very tasty."",""Bhai koi aise recipe batao parathe ki jisme high protein bhi pura ho jae aur carbs bhi kam ho btw love ur content and effort"",""So tasty food recipe full watch it your old subscriber sanaz from Pakistan"""
3 Best Maggi Recipe,03/05/2025,Saturday,05:01,45751,1000,37,NA,3825.3,45.751,1236.513514,0.083611287,27.02702703,2.27%,"""Bhhot bhaiya"",""Tasty yummy"",""Feku lagta hai link ke baare Main"",""Apne pyaj ke chopper ka link to nahi diya"",""Maggi masala was not used in any recipe. How is it possible ?"""
Pyaz Kachori,05/05/2025,Monday,03:25,7193,321,23,NA,409.6,22.40809969,312.7391304,0.056944251,13.95652174,4.78%,"""Tasty,""You make it all look so easy....!"",""Yum tum sir..new subscribers"",""I am watching your video from up i like video"",""Yummy"""
Dahi Vada,07/05/2025,Wednesday,03:49,5498,249,21,NA,349.7,22.08032129,261.8095238,0.063604947,11.85714286,4.91%,"""Yami recpi sir"",""muje chini pasand nahi kisi bhi vade ki dish me"",""Aapne daal ko feta nhi? Kya ye jaruri nhi hota kyunki mere dahi vade kuch jyada hi soft ho jaate h plz koi tips dijiye"",""Nice nice nice"",""Very nice"",""Nice recipe"",""Hi not salt required?"",""Wow"""
Kathal Ki Sabji,09/05/2025,Friday,03:26,42261,490,20,NA,2418.3,86.24693878,2113.05,0.057222972,24.5,1.21%,"""Wah yummy mza aa gaya"",""Bhaiya aap jab knife for oil laga rahe the tab bhaut dar lagrahatha aap ka hath me kat na lagjaye"",""Kitna Lochha hai mujhe toh aalas aa rha. Hai"",""Thanks for subscribing my channel"",""Good recipe but too much oil"""
Veg Biryani yaa Pulao,11/05/2025,Sunday,03:59,12162,441,23,NA,807.4,27.57823129,528.7826087,0.066387107,19.17391304,3.82%,"""Thank you, it tastes amazing.(Just fry potatoes separately to save ur time)"",""Bahut badhiya"",""Its biryani"",""If we add potato in tomato and curd then it will take time to be soft, add roasted sesame (til) in raita, it will add cherry on top, thanku sir"",""Apke recipes ache hai but aap time nahi mention karte ho...kitne der tak rakhna after everything"""
Tandoori Naan,13/05/2025,Tuesday,04:18,9525,387,18,NA,682.6,24.6124031,529.1666667,0.071664042,21.5,4.25%,"""Chef, all three I didn't know that it was so easy.....TQ"",""Thank you sir"",""Wow"",""Very nice"",""Very testy"""
Tamatar Pyaz Ki Sabji,15/05/2025,Thursday,03:42,40889,660,35,NA,2521.5,61.9530303,1168.257143,0.061666952,18.85714286,1.70%,"""Simple testy yammy wow"",""I think aap namak dalna bhul gaen"",""Namak use nhi kiya h sabji m"",""Could you please show some nonveg recipes"",""Yummy"""
Vada Pav,17/05/2025,Saturday,04:15,8401,361,24,NA,595.1,23.27146814,350.0416667,0.070836805,15.04166667,4.58%,"""Fantastic"",""Best recipes and easy explanation with interesting way of preparation method,""Well done chef pratik .................... keep it COOKING !!!!"",""Wow yummy yummy tasty tasty"",""Nice"",""Amazinggggggggg"""
Mix Veg,19/05/2025,Monday,03:18,58538,1400,28,NA,3219.6,41.81285714,2090.642857,0.055000171,50,2.44%,"""Recipe video pls ????"",""Thank you Prateek!!"",""Thank you. Nice presentation."",""BUS SAB SABZIA "" SUPER OVERCOOK"" kar di hai....................Sirji"",""Very nice"""
Paneer Butter Masala,21/05/2025,Wednesday,03:21,199719,4800,88,NA,11150.9,41.608125,2269.534091,0.055832945,54.54545455,2.45%,"""Nice recipe,""सर मैने आपकी मिक्स व्हेज रेसिपी बनाई बहुत अच्छे बनी और सब को पसंद आई"",""Shashi kapoor"",""Aaadha chota chamach"",""Nice"""
Veg Pulao,23/05/2025,Friday,03:21,11640,430,15,NA,649.9,27.06976744,776,0.055833333,28.66666667,3.82%,"""Wow tasty recipe New Subscriber Stay Connected please"",""Yummy"",""Yeh pulao masale k recipe bataye"",""Agar Pulao Masala naa ho to Pls answer Chef Prateek"",""Meri cooking videos he Ikin jb bhi koi suggestion leti hu sister se, fatak se chef prateek ki video dkho naa"""
Soya Keema,25/05/2025,Sunday,03:09,10245,330,14,NA,537.9,31.04545455,731.7857143,0.05250366,23.57142857,3.36%,"""Why don't you give exact proportion for ingredients. How many times to tell you. Give whole written recipes. Atleast one knows how much masala to use"",""Why do you speak in shashi kapoor 's style"",""soya chunks kitne der paani mein dalna reheta hai initially?"",""Aapkoi special recipe Kyon Nahin banate"",""Tasty"""
3 Tasty Sandwich,27/05/2025,Tuesday,03:43,15946,541,15,NA,987.8,29.47504621,1063.066667,0.06194657,36.06666667,3.49%,"""Wao yammy tooooo"",""Yummmmyyyyy...bhut Bdia"",""Mouth watering"",""Wow very nice and delicious yummy recipe thanks for sharing"",""Very tast and yummy"""
Veg Pulao,29/05/2025,Thursday,03:35,11826,407,17,NA,706.3,29.05651106,695.6470588,0.059724336,23.94117647,3.59%,"""Excellent recipe in vegetarian"",""I started watching all your videos and learnt many dishes.now my daughter is calling me king of dishes"",""Looks yummy iwill try"",""Lovely"",""Very very tasty"""
Paneer Kalimirch,31/05/2025,Saturday,04:01,11901,419,16,NA,796.7,28.40334129,743.8125,0.066943954,26.1875,3.66%,"""Delicious"",""Superb"",""Nice recipe"",""V nice Paneer Kalimirch"",""Thanks for sharing"""
Idli Sambar,02/06/2025,Monday,03:47,10328,337,17,NA,651.2,30.64688427,607.5294118,0.063051898,19.82352941,3.43%,"""Chini ki jagah gud bhi le sakte hain aur chauk mein Rai ke sath methi bhi dal sakte hain"",""So delicious"",""Coconut chatni with idli, superb combination"",""Nice recipe"",""Looks delicious"""
Sev Tamatar ki Sabji,04/06/2025,Wednesday,03:03,8649,339,18,NA,439.7,25.51327434,480.5,0.050838247,18.83333333,4.13%,"""Very nice and yummy recipe"",""Nice recipe"",""Delicious recipe"",""Fan bhi ban gaya"",""Tasty tasty"""
Aalo aur Bhindi ki Sukhi Sabji,06/06/2025,Friday,03:15,7402,268,14,NA,400.9,27.61940299,528.7142857,0.054161038,19.14285714,3.81%,"""sir ji apki recipe achhi aur ekdam simple hai"",""Super tasty recipe"",""Wow kya testy hai"",""व्हेरी टेस्टी मिक्स भाजी"""
Medu Vada ,08/06/2025,Sunday,03:08,5296,193,13,NA,276.6,27.44041451,407.3846154,0.052228097,14.84615385,3.89%,"""Very Very tasty meduvada"",""Delicious"",""U explain very nicely"",""yummy"",""Nice"""
Chana Chaat Masala,10/06/2025,Tuesday,03:05,5805,229,14,NA,298.3,25.34934498,414.6428571,0.051386736,16.35714286,4.19%,"""Sooooo tempting really appreciate your efforts great job well done thanks for sharing such a nice recipe Great job well done thanks for"",""Wow yummy yummy yummy tasty tasty recipe sir apki recipe hamesha bahut badhiya hoti hai"",""Wow super recipe""बहुत ही बढीया है सरजी !"",""Very Good"""
Mushroom Biryani,12/06/2025,Thursday,04:22,5994,259,12,NA,436.2,23.14285714,499.5,0.072772773,21.58333333,4.52%,"""3 like wow very tasty recipe dear"",""बहुत ही अच्छी रेसिपी बनाकर तैयारकी है"",""Wow"",""Excellent"",""Delicious recipe"""
Baingan Masala,14/06/2025,Saturday,03:11,6796,303,13,NA,360.6,22.4290429,522.7692308,0.053060624,23.30769231,4.65%,"""Absolutely delicious"",""Bahut hi badhiya banaya he Ik done"",""Nice"",""Look so yummy"",""Very nice"""
Dum Aalo Recipe,16/06/2025,Monday,03:18,8662,338,29,NA,476.4,25.62721893,298.6896552,0.054998846,11.65517241,4.24%,"""Really basic ingredients k sath....ap batate hai....thanks a lot"",""Aapki recipe or bolne ka andaj bahut achha hai"",""Good one Sir"",""Nice"",""Wow"""
Paneer Soya Fried Rice,18/06/2025,Wednesday,03:03,9187,407,14,NA,467.1,22.57248157,656.2142857,0.050843583,29.07142857,4.58%,"""Rain therapy aur yeah recipe great chef sir"",""New Recipe"",""I love paneer rice recipe"",""Nice"",""Very tasty"""
Indian Thali,20/06/2025,Friday,03:35,11519,331,17,NA,687.9,34.80060423,677.5882353,0.059718726,19.47058824,3.02%,"""Your all recipes awesome"",""Thali looks nice"",""Very tasty and delicious"",""Please provide kheer receipe"",""Superb"""
Dal Makhani,22/06/2025,Sunday,03:24,12808,541,18,NA,725.8,23.67467652,711.5555556,0.056667708,30.05555556,4.36%,"""Where is the details of this recipe how much gram daal it is"",""Wow sir urs recipes r always super good yummy tasty I like it was amazing sir thanks for everything sir"",""Best recipe. I will try it delicious. And family members asked me how it will be made. It is the best recipe"",""Wow super delicious recipe thanks for sharing"",""Always best recipe"""
Tikki Chole Chaat,24/06/2025,Tuesday,03:22,6817,336,8,NA,382.5,20.28869048,852.125,0.056109726,42,5.05%,"""Very nice yummy tasty"",""Chole chaat wo tasty Matlab abhi aapane khilaya to Hai nahin fir bhi recipe to acche Hain"",""jay shri krishna bhovaj sarsh bhai mane chole bovaj bhave I'm jagruti Patel"",""Nice"",""Outstanding"""
Veg Thali,26/06/2025,Thursday,03:44,8076,372,21,NA,502.5,21.70967742,384.5714286,0.062221397,17.71428571,4.87%,"""Aapki sari recipe bahut acchi hoti h sir"",""Very nice recipe"",""Wah yummy thali"",""Yummy Yummy"",""Very yummy good chef"" "
Lauki ki Sabji,28/06/2025,Saturday,03:05,3871,210,10,NA,198.9,18.43333333,387.1,0.051382072,21,5.68%,"""By the way isy lauki kofta kehte hai"",""Wow"",""Very Nice"",""Oh new recipe"",""I wouldn't squeeze out the water as nutrients get lost"""
Aalo aur Besan ki Sabji,30/06/2025,Monday,03:34,3911,217,9,NA,232.5,18.02304147,434.555555,0.059447711,24.11111111,5.77%,"""Wow bahut tasty yummy recipe"",""Wow very delicious recipe"",""yummy"",""wow"",""Nice"""
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
